129559;129559;Carrer Ramón y Cajal 80;attraction;41.403.475.032.434;21.602.618.694.305;Barcelona;Heliogàbal;4adcda50f964a5200f4121e3;0;Music Venue;http://tour-pedia.org/api/getPlaceDetails?id=129559;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129559;;;
attraction;129568;Plaça Mercè;1;129568;41.379.203.579.518;21.793.775.971.043;Barcelona;Basílica de la Mare de Déu de la Mercè;4adcda50f964a5202d4121e3;0;Church;http://tour-pedia.org/api/getPlaceDetails?id=129568;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129568;;
129570;129570;Carrer de Montevideo 14;attraction;41.396.082.894.092;21.125.043.384.588;Barcelona;Museo del Real Monasterio de Santa María de Pedralbes;4adcda50f964a520314121e3;0;Spiritual Center;http://tour-pedia.org/api/getPlaceDetails?id=129570;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129570;;;
129572;129572;Barri de Poble Sec;attraction;41.372.815.300.939;21.620.965.003.967;Barcelona;Poble Sec;4adcda50f964a520334121e3;0;Neighborhood;http://tour-pedia.org/api/getPlaceDetails?id=129572;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129572;;;
129575;129575;Passeig de Lluís Companys;attraction;4.139.098;2.180.641;Barcelona;Arc de Triomf;4adcda50f964a520384121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129575;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129575;;;
129579;129579;Plaça Carles Buïgas 1;attraction;41.371.124.530.295;21.517.324.447.632;Barcelona;Font Màgica de Montjuïc;4adcda50f964a520424121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129579;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129579;;;
129581;129581;Les Corts;attraction;41.383.003.523.391;213.273.229.728;Barcelona;Barri de Les Corts;4adcda50f964a520474121e3;0;Neighborhood;http://tour-pedia.org/api/getPlaceDetails?id=129581;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129581;;;
129584;129584;Parc de Collserola;attraction;41.420.943.563.881;20.995.473.861.694;Barcelona;Parc de Collserola;4adcda50f964a520514121e3;0;Mountain;http://tour-pedia.org/api/getPlaceDetails?id=129584;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129584;;;
129587;129587;Barceloneta;attraction;41.380.688.882.479;21.896.052.360.535;Barcelona;La Barceloneta;4adcda50f964a520554121e3;0;Neighborhood;http://tour-pedia.org/api/getPlaceDetails?id=129587;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129587;;;
attraction;129592;Pla de Palau;1;129592;41.382.840.434.718;21.832.940.883.028;Barcelona;Pla de Palau;4adcda50f964a5205f4121e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129592;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129592;;
129596;129596;Plaça del Tibidabo 3-4;attraction;41.421.458.456.217;21.196.532.249.451;Barcelona;Tibidabo;4adcda50f964a520654121e3;0;Theme Park;http://tour-pedia.org/api/getPlaceDetails?id=129596;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129596;;;
129598;129598;Avda. Miramar;attraction;41.367.352;2.168.005;Barcelona;Telefèric de Montjuïc;4adcda50f964a5206e4121e3;0;Ski Chairlift;http://tour-pedia.org/api/getPlaceDetails?id=129598;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129598;;;
129600;129600;Plaça del Rei;attraction;41.384.175.925.845;21.774.146.800.007;Barcelona;Plaça del Rei;4adcda51f964a520724121e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129600;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129600;;;
129601;129601;Plaça de Sant Jaume;attraction;41.382.691.341.284;21.770.444.512.367;Barcelona;Plaça de Sant Jaume;4adcda51f964a520754121e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129601;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129601;;;
129608;129608;Passeig de Colom;attraction;41.377.995.570.776;21.800.735.173.529;Barcelona;Moll de la Fusta;4adcda51f964a5207f4121e3;0;Harbor / Marina;http://tour-pedia.org/api/getPlaceDetails?id=129608;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129608;;;
129612;129612;Carrer de Pierre de Coubertin;attraction;41.364.763.618.563;21.490.931.510.925;Barcelona;Anella Olímpica;4adcda51f964a520884121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129612;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129612;;;
129615;129615;Passeig Olímpic 5-7;attraction;41.363.604.094.226;21.526.336.669.922;Barcelona;Palau Sant Jordi;4adcda51f964a5208c4121e3;0;Basketball Stadium;http://tour-pedia.org/api/getPlaceDetails?id=129615;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129615;;;
attraction;129616;C/ Rosselló 181;;129616;41.391.228.015.553;2.154.816;Barcelona;Casa del Tíbet;4adcda51f964a5208e4121e3;0;Spiritual Center;http://tour-pedia.org/api/getPlaceDetails?id=129616;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129616;;
129618;129618;Avinguda Esplugues 103;attraction;41.392.641.041.784;2.110.788.737.206;Barcelona;Parroquia de María Reina;4adcda51f964a520934121e3;0;Spiritual Center;http://tour-pedia.org/api/getPlaceDetails?id=129618;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129618;;;
attraction;129625;Rambla Prim;1;129625;41.411.651;2.225.032;Barcelona;Parc del Fòrum;4adcda51f964a520b14121e3;0;Park;http://tour-pedia.org/api/getPlaceDetails?id=129625;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129625;;
129626;129626;Avinguda Arístides Maillol;attraction;41.380.188.057.891;21.204.506.331.409;Barcelona;Palau Blaugrana;4adcda51f964a520b34121e3;0;Basketball Stadium;http://tour-pedia.org/api/getPlaceDetails?id=129626;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129626;;;
129629;129629;Carrer de Bellesguard 16-20;attraction;41.409.462.177.422;21.258.719.836.674;Barcelona;Bellesguard Gaudí;4adcda51f964a520bf4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129629;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129629;;;
129634;129634;Carrer del Comerc;attraction;41.385.588.417.042;21.835.916.787.589;Barcelona;Mercat del Born;4adcda51f964a520cd4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129634;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129634;;;
129644;129644;Parc de Montjuïc;attraction;41.364.540.960.514;21.666.033.722.395;Barcelona;Museu Militar;4adcda52f964a520f14121e3;0;History Museum;http://tour-pedia.org/api/getPlaceDetails?id=129644;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129644;;;
129655;129655;Carrer de Santaló 46;attraction;41.395.998.578.604;21.452.307.701.111;Barcelona;Gimlet;4adcda53f964a5207e4221e3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129655;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129655;;;
129710;129710;Carrer de Santa Fe de Nou Méxic;attraction;41.393.924.775.602;21.366.015.739.872;Barcelona;Cinesa Diagonal 3D;4adcda56f964a520804321e3;0;Multiplex;http://tour-pedia.org/api/getPlaceDetails?id=129710;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129710;;;
129711;129711;Ronda General Mitre 38-44;attraction;41.394.817.632.782;21.341.083.215.352;Barcelona;Gran Sarrià Multicines;4adcda56f964a520834321e3;0;Multiplex;http://tour-pedia.org/api/getPlaceDetails?id=129711;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129711;;;
attraction;129715;La Rambla; 51-59;129715;41.380.778.233.631;21.735.130.964.058;Barcelona;Gran Teatre del Liceu;4adcda57f964a5209a4321e3;0;Opera House;http://tour-pedia.org/api/getPlaceDetails?id=129715;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129715;;
129717;129717;Rambla dels Estudis 115;attraction;41.384.203.732.607;21.708.738.404.394;Barcelona;Teatre Poliorama;4adcda57f964a520a24321e3;0;Theater;http://tour-pedia.org/api/getPlaceDetails?id=129717;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129717;;;
129721;129721;Neopàtria 54;attraction;41.430.385;2.189.013;Barcelona;SAT! Teatre de Barcelona;4adcda58f964a520be4321e3;0;Theater;http://tour-pedia.org/api/getPlaceDetails?id=129721;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129721;;;
129722;129722;Carrer Verdaguer i Callís 12;attraction;41.387.156.069.771;2.176.094.918.315;Barcelona;L'Antic Teatre;4adcda58f964a520bf4321e3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129722;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129722;;;
attraction;129724;Carrer de la Guàrdia Urbana;7;129724;41.371.619;2.154.532;Barcelona;Barcelona Teatre Musical;4adcda58f964a520c14321e3;0;Concert Hall;http://tour-pedia.org/api/getPlaceDetails?id=129724;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129724;;
129727;129727;Carrer del Foc 128-132;attraction;41.359.087.562.812;21.452.379.282.528;Barcelona;Bascula Espai Musical (La);4adcda58f964a520c94321e3;0;Concert Hall;http://tour-pedia.org/api/getPlaceDetails?id=129727;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129727;;;
attraction;129733;Avda. Francesc Ferrer i Guardia;13;129733;41.368.717.119.125;21.470.654.010.773;Barcelona;Poble Espanyol;4adcda5af964a520504421e3;0;Historic Site;http://tour-pedia.org/api/getPlaceDetails?id=129733;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129733;;
