address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
494886;Centro Privado de Enseñanza la Salle Horta;Centro Privado de Enseñanza la Salle Horta;Carrer del Doctor Letamendi, 63, Barcelona, Spain;494886;poi;Barcelona;41.436.533;216.093;http://tour-pedia.org/api/getPlaceDetails?id=494886;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494886;;;;;;
494887;Dental Valero Sl;Dental Valero Sl;Carrer de Coïmbra, 31, Barcelona, Spain;494887;poi;Barcelona;41.432.804;215.503;http://tour-pedia.org/api/getPlaceDetails?id=494887;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494887;;;;;;
494888;Farmacia Pérez;Farmacia Pérez;Passeig Universal, 24, Barcelona, Spain;494888;poi;Barcelona;41.437.253;2.162.266;http://tour-pedia.org/api/getPlaceDetails?id=494888;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494888;;;;;;
494889;Farmàcia H127 · Llic. Gellida Bonet;Farmàcia H127 · Llic. Gellida Bonet;Carrer Horta, 127, Barcelona, Spain;494889;poi;Barcelona;41.432.245;215.807;http://tour-pedia.org/api/getPlaceDetails?id=494889;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494889;;;;;;
494890;Clínica Dental Marín;Clínica Dental Marín;Passeig de Valldaura, 28, Barcelona, Spain;494890;poi;Barcelona;41.437.744;2.156.942;http://tour-pedia.org/api/getPlaceDetails?id=494890;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494890;;;;;;
494891;φύση;φύση;Carrer Consorts Sans Bernet, 7, Barcelona, Spain;494891;poi;Barcelona;41.431.317;2.158.679;http://tour-pedia.org/api/getPlaceDetails?id=494891;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494891;;;;;;
494892;Ilustre Colegio de Procuradores de Barcelona;Ilustre Colegio de Procuradores de Barcelona;Passeig d'Horta, 19, Cerdanyola del Vallès, Spain;494892;poi;Barcelona;41.440.187;2.155.876;http://tour-pedia.org/api/getPlaceDetails?id=494892;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494892;;;;;;
494893;Iglesia Evangélica Asamblea de Dios;Iglesia Evangélica Asamblea de Dios;Passeig de Fabra i Puig, 370, Barcelona, Spain;494893;poi;Barcelona;41.430.968;2.164.577;http://tour-pedia.org/api/getPlaceDetails?id=494893;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494893;;;;;;
494894;Oficina Decanato;Oficina Decanato;Passeig d'Horta, 19, Cerdanyola del Vallès, Spain;494894;poi;Barcelona;41.440.187;2.155.876;http://tour-pedia.org/api/getPlaceDetails?id=494894;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494894;;;;;;
494895;C.C. Veterinaria;C.C. Veterinaria;Passeig de Valldaura, 113, Barcelona, Spain;494895;poi;Barcelona;41.439.864;2.163.608;http://tour-pedia.org/api/getPlaceDetails?id=494895;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494895;;;;;;
494896;Víctor Ortega Castillo;Víctor Ortega Castillo;Carrer de Chapí, 32, Barcelona, Spain;494896;poi;Barcelona;41.431.359;2.161.689;http://tour-pedia.org/api/getPlaceDetails?id=494896;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494896;;;;;;
494897;Medi Bayreuth España S.L.;Medi Bayreuth España S.L.;Carrer del Canigó, 2, Barcelona, Spain;494897;poi;Barcelona;41.434.016;2.163.035;http://tour-pedia.org/api/getPlaceDetails?id=494897;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494897;;;;;;
494898;Farmacia Palme Vilaseca;Farmacia Palme Vilaseca;Carrer Sant Gaudenci, 11, Barcelona, Spain;494898;poi;Barcelona;41.434.365;215.702;http://tour-pedia.org/api/getPlaceDetails?id=494898;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494898;;;;;;
494899;Centro Parroquial de Sant Joand'Horta;Centro Parroquial de Sant Joand'Horta;Carrer de Feliu i Codina, 7, Barcelona, Spain;494899;poi;Barcelona;41.432.317;2.160.277;http://tour-pedia.org/api/getPlaceDetails?id=494899;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494899;;;;;;
494900;Unitat Socioeducativa D'Alzheimer S.L.;Unitat Socioeducativa D'Alzheimer S.L.;Carrer de la Rectoria, 11, Barcelona, Spain;494900;poi;Barcelona;41.433.746;2.159.306;http://tour-pedia.org/api/getPlaceDetails?id=494900;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494900;;;;;;
494901;Farmacia Oliva Durán;Farmacia Oliva Durán;Passeig de Fabra i Puig, 383, Barcelona, Spain;494901;poi;Barcelona;41.433.201;2.163.024;http://tour-pedia.org/api/getPlaceDetails?id=494901;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494901;;;;;;
494902;Farmacia Torne Felip;Farmacia Torne Felip;Carrer de Feliu i Codina, 45, Barcelona, Spain;494902;poi;Barcelona;41.434.831;2.161.908;http://tour-pedia.org/api/getPlaceDetails?id=494902;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494902;;;;;;
494903;Paravulario Estel;Paravulario Estel;Carrer del Doctor Letamendi, 20, Barcelona, Spain;494903;poi;Barcelona;41.435.044;2.159.677;http://tour-pedia.org/api/getPlaceDetails?id=494903;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494903;;;;;;
494904;Farmacia Folch Flórez;Farmacia Folch Flórez;Carrer de Fàtima, 10, Barcelona, Spain;494904;poi;Barcelona;4.143.253;2.155.525;http://tour-pedia.org/api/getPlaceDetails?id=494904;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494904;;;;;;
494905;Francesc García Delgado;Francesc García Delgado;Passeig de Fabra i Puig, 394, Barcelona, Spain;494905;poi;Barcelona;4.143.272;216.328;http://tour-pedia.org/api/getPlaceDetails?id=494905;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494905;;;;;;
494906;Nuria Aragonés Valles;Nuria Aragonés Valles;Carrer de la Rectoria, 22, Barcelona, Spain;494906;poi;Barcelona;41.433.483;2.159.268;http://tour-pedia.org/api/getPlaceDetails?id=494906;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494906;;;;;;
494907;Farmacia Espuñes Vendrell González Barbosa;Farmacia Espuñes Vendrell González Barbosa;Carrer de Porrera, 21, Barcelona, Spain;494907;poi;Barcelona;41.438.072;2.159.709;http://tour-pedia.org/api/getPlaceDetails?id=494907;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494907;;;;;;
494908;Farmacia Estalella Guell;Farmacia Estalella Guell;Carrer de Cartellà, 192, Barcelona, Spain;494908;poi;Barcelona;41.430.829;2.163.345;http://tour-pedia.org/api/getPlaceDetails?id=494908;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494908;;;;;;
